"Id;""代号"";""封装"";""数量"";""名称"";""供应商和REF"";",,
"1;""REF**"";""pad"";1;""pad"";;;",,
"2;""C2",C3,"C4"";""0603_C"";3;""0603_100nF__104_10%_50V"";;;"
"3;""BT1"";""CR2477-HOLE-1"";1;""Battery_Cell"";;;",,
"4;""R1",R2,"R3"";""0603_R"";3;""0603_10KΩ__1002_1%"";;;"
"5;""U1"";""NRF24M-12P-SMD-I2C"";1;""NRF24M-MODULE_NOSI24R1"";;;",,
"6;""U2"";""SI7021"";1;""Si7020-A20"";;;",,
"7;""U3"";""BME280"";1;""BME280"";;;",,
"8;""C1"";""CASE-B_3528"";1;""3216_10uF__106_10%_16V"";;;",,
"9;""OPT1"";""OPT3001"";1;""OPT3001"";;;",,
